도로종류,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수,year
일반국도,맑음,17908,471,6750,21266,1857,2019
일반국도,흐림,652,32,278,733,82,2019
일반국도,비,1344,30,530,1559,150,2019
일반국도,안개,59,3,38,48,5,2019
일반국도,눈,70,0,37,103,12,2019
일반국도,기타/불명,133,5,60,128,6,2019
지방도,맑음,14957,394,5455,16476,1699,2019
지방도,흐림,568,34,213,626,62,2019
지방도,비,1083,27,419,1137,110,2019
지방도,안개,42,2,20,45,4,2019
지방도,눈,40,0,12,56,3,2019
지방도,기타/불명,105,5,39,80,19,2019
특별광역시도,맑음,82866,613,22878,86582,8942,2019
특별광역시도,흐림,2622,40,760,2698,264,2019
특별광역시도,비,5681,64,1585,6022,588,2019
특별광역시도,안개,15,0,2,21,0,2019
특별광역시도,눈,97,0,25,101,13,2019
특별광역시도,기타/불명,514,2,143,494,57,2019
시도,맑음,67552,840,21182,72328,6353,2019
시도,흐림,2076,47,666,2134,172,2019
시도,비,4824,74,1654,5255,460,2019
시도,안개,67,3,32,86,6,2019
시도,눈,152,4,50,159,16,2019
시도,기타/불명,282,3,84,296,18,2019
군도,맑음,7096,221,3106,6572,569,2019
군도,흐림,288,16,143,254,24,2019
군도,비,443,18,190,427,33,2019
군도,안개,22,1,12,41,2,2019
군도,눈,17,1,19,18,0,2019
군도,기타/불명,15,1,8,15,1,2019
고속국도,맑음,3757,171,1549,6089,867,2019
고속국도,흐림,126,13,51,195,44,2019
고속국도,비,314,19,157,425,78,2019
고속국도,안개,8,0,2,10,5,2019
고속국도,눈,15,3,8,30,3,2019
고속국도,기타/불명,3,0,1,7,0,2019
기타,맑음,12355,169,3736,11625,1227,2019
기타,흐림,426,9,121,395,34,2019
기타,비,688,12,197,671,76,2019
기타,안개,18,0,8,24,0,2019
기타,눈,26,0,6,37,0,2019
기타,기타/불명,274,2,80,256,21,2019
일반국도,맑음,16454,452,5522,19335,1514,2020
일반국도,흐림,804,39,314,847,60,2020
일반국도,비,1477,55,551,1728,151,2020
일반국도,안개,44,3,25,38,1,2020
일반국도,눈,83,1,31,118,3,2020
일반국도,기타/불명,183,8,47,211,16,2020
지방도,맑음,12469,318,4224,13707,1273,2020
지방도,흐림,556,20,223,562,50,2020
지방도,비,1078,42,361,1173,97,2020
지방도,안개,27,2,16,27,2,2020
지방도,눈,74,1,27,83,7,2020
지방도,기타/불명,122,8,38,127,8,2020
특별광역시도,맑음,74248,543,18972,78058,7399,2020
특별광역시도,흐림,2639,43,688,2749,250,2020
특별광역시도,비,6352,65,1743,6782,662,2020
특별광역시도,안개,10,1,5,9,1,2020
특별광역시도,눈,157,0,29,186,17,2020
특별광역시도,기타/불명,640,8,165,641,82,2020
시도,맑음,61845,746,17712,66978,5045,2020
시도,흐림,2349,53,756,2501,207,2020
시도,비,5352,94,1567,5962,403,2020
시도,안개,48,2,27,53,4,2020
시도,눈,209,1,50,251,23,2020
시도,기타/불명,426,3,131,437,32,2020
군도,맑음,6670,183,2657,6323,515,2020
군도,흐림,346,16,165,302,18,2020
군도,비,520,17,214,523,58,2020
군도,안개,21,0,19,12,1,2020
군도,눈,33,1,12,35,4,2020
군도,기타/불명,55,3,15,57,3,2020
고속국도,맑음,3489,159,1207,5394,589,2020
고속국도,흐림,130,18,62,213,39,2020
고속국도,비,379,37,152,537,62,2020
고속국도,안개,4,0,2,4,0,2020
고속국도,눈,25,7,20,77,5,2020
고속국도,기타/불명,12,2,8,16,2,2020
기타,맑음,9040,108,2498,8658,871,2020
기타,흐림,392,15,107,384,31,2020
기타,비,590,5,141,629,53,2020
기타,안개,11,0,4,8,1,2020
기타,눈,34,1,7,37,2,2020
기타,기타/불명,257,1,50,264,33,2020
일반국도,맑음,16479,427,4985,19509,1354,2021
일반국도,흐림,796,33,258,874,81,2021
일반국도,비,1326,49,433,1573,93,2021
일반국도,안개,43,6,22,37,0,2021
일반국도,눈,165,4,48,221,20,2021
일반국도,기타/불명,174,5,57,212,15,2021
지방도,맑음,12256,271,3972,13464,1155,2021
지방도,흐림,507,26,164,550,42,2021
지방도,비,911,30,315,1061,77,2021
지방도,안개,37,4,17,28,4,2021
지방도,눈,138,4,39,173,12,2021
지방도,기타/불명,142,6,48,141,15,2021
특별광역시도,맑음,70945,557,17436,74588,5945,2021
특별광역시도,흐림,2568,37,674,2570,190,2021
특별광역시도,비,5286,65,1298,5675,397,2021
특별광역시도,안개,14,1,4,16,1,2021
특별광역시도,눈,463,3,80,601,25,2021
특별광역시도,기타/불명,829,4,173,848,74,2021
시도,맑음,57822,681,16158,62232,4016,2021
시도,흐림,2211,57,678,2271,132,2021
시도,비,4384,71,1259,4819,277,2021
시도,안개,76,9,29,65,8,2021
시도,눈,426,6,98,543,35,2021
시도,기타/불명,576,10,155,587,44,2021
군도,맑음,6008,174,2369,5757,428,2021
군도,흐림,283,16,122,236,16,2021
군도,비,421,12,160,413,25,2021
군도,안개,18,0,7,19,0,2021
군도,눈,53,1,15,63,3,2021
군도,기타/불명,65,5,17,68,1,2021
고속국도,맑음,4255,138,1331,6582,566,2021
고속국도,흐림,147,16,52,216,20,2021
고속국도,비,403,29,161,553,63,2021
고속국도,안개,10,2,10,13,1,2021
고속국도,눈,61,4,29,81,14,2021
고속국도,기타/불명,7,2,9,7,0,2021
기타,맑음,11148,124,2821,10918,1100,2021
기타,흐림,470,12,114,454,63,2021
기타,비,642,11,160,637,56,2021
기타,안개,9,0,3,8,2,2021
기타,눈,89,1,11,96,10,2021
기타,기타/불명,467,3,114,504,40,2021
일반국도,맑음,18348,386,5163,21293,1786,2022
일반국도,흐림,761,27,236,839,72,2022
일반국도,비,1100,40,330,1262,108,2022
일반국도,안개,34,3,12,37,2,2022
일반국도,눈,178,7,43,201,31,2022
일반국도,기타/불명,167,5,50,186,22,2022
지방도,맑음,11157,278,3489,12105,1282,2022
지방도,흐림,396,19,109,408,34,2022
지방도,비,554,15,178,600,65,2022
지방도,안개,31,0,20,30,2,2022
지방도,눈,76,0,15,99,10,2022
지방도,기타/불명,100,4,28,103,14,2022
특별광역시도,맑음,70134,508,16602,74568,5851,2022
특별광역시도,흐림,2145,37,539,2265,167,2022
특별광역시도,비,3693,53,905,3909,295,2022
특별광역시도,안개,11,0,2,9,2,2022
특별광역시도,눈,315,5,56,372,29,2022
특별광역시도,기타/불명,1064,3,199,1208,81,2022
시도,맑음,56074,691,14839,59642,4569,2022
시도,흐림,1943,50,534,1963,220,2022
시도,비,3007,46,854,3173,228,2022
시도,안개,46,2,16,45,3,2022
시도,눈,380,3,76,440,26,2022
시도,기타/불명,375,6,105,403,25,2022
군도,맑음,6486,200,2494,6102,554,2022
군도,흐림,251,10,91,225,28,2022
군도,비,274,13,109,289,24,2022
군도,안개,8,3,3,5,1,2022
군도,눈,48,3,17,59,4,2022
군도,기타/불명,16,1,8,14,2,2022
고속국도,맑음,4382,152,1259,7260,782,2022
고속국도,흐림,90,9,35,115,7,2022
고속국도,비,325,19,134,472,62,2022
고속국도,안개,4,0,2,2,1,2022
고속국도,눈,37,1,32,122,0,2022
고속국도,기타/불명,22,3,6,23,1,2022
기타,맑음,11204,102,2794,10909,1084,2022
기타,흐림,432,10,95,407,54,2022
기타,비,540,8,116,566,56,2022
기타,안개,10,1,3,6,1,2022
기타,눈,81,2,12,111,12,2022
기타,기타/불명,537,10,105,583,61,2022
일반국도,맑음,19192,383,5501,21653,2123,2023
일반국도,흐림,925,34,309,1035,93,2023
일반국도,비,1583,39,526,1791,142,2023
일반국도,안개,41,5,13,45,2,2023
일반국도,눈,142,3,36,211,23,2023
일반국도,기타/불명,202,3,49,224,29,2023
지방도,맑음,10300,228,3425,10969,1106,2023
지방도,흐림,505,18,166,501,54,2023
지방도,비,803,17,270,860,97,2023
지방도,안개,27,2,7,30,3,2023
지방도,눈,90,1,23,144,20,2023
지방도,기타/불명,159,5,51,137,20,2023
특별광역시도,맑음,68673,456,16348,72264,6097,2023
특별광역시도,흐림,2395,38,635,2448,204,2023
특별광역시도,비,5477,55,1361,5754,459,2023
특별광역시도,안개,12,1,3,15,1,2023
특별광역시도,눈,251,1,49,310,23,2023
특별광역시도,기타/불명,861,10,164,860,84,2023
시도,맑음,55631,588,14581,58247,5407,2023
시도,흐림,2148,59,606,2231,202,2023
시도,비,4385,65,1223,4596,372,2023
시도,안개,43,4,11,49,3,2023
시도,눈,277,2,45,358,33,2023
시도,기타/불명,412,7,107,394,48,2023
군도,맑음,6451,211,2501,6007,477,2023
군도,흐림,291,12,103,301,16,2023
군도,비,469,17,157,454,42,2023
군도,안개,17,2,11,8,0,2023
군도,눈,47,0,13,69,4,2023
군도,기타/불명,33,0,14,25,1,2023
고속국도,맑음,4573,156,1578,7647,827,2023
고속국도,흐림,141,17,65,187,8,2023
고속국도,비,429,10,162,636,69,2023
고속국도,안개,5,0,4,7,1,2023
고속국도,눈,49,3,39,101,16,2023
고속국도,기타/불명,23,0,12,40,1,2023
기타,맑음,9511,77,2414,9175,979,2023
기타,흐림,431,15,97,415,29,2023
기타,비,631,4,169,622,56,2023
기타,안개,9,0,5,5,0,2023
기타,눈,57,1,15,111,3,2023
기타,기타/불명,595,2,121,633,67,2023
일반국도,맑음,19426,397,5566,21686,2303,2024
일반국도,흐림,988,28,304,1037,114,2024
일반국도,비,1386,46,447,1591,128,2024
일반국도,안개,25,5,9,23,0,2024
일반국도,눈,160,4,42,192,22,2024
일반국도,기타/불명,322,5,90,349,33,2024
지방도,맑음,10061,204,3181,10597,1034,2024
지방도,흐림,684,27,215,693,88,2024
지방도,비,822,15,283,821,100,2024
지방도,안개,18,0,7,18,1,2024
지방도,눈,102,2,32,118,13,2024
지방도,기타/불명,225,2,61,219,32,2024
특별광역시도,맑음,68972,497,16097,71348,6261,2024
특별광역시도,흐림,2294,33,580,2387,189,2024
특별광역시도,비,5044,38,1271,5217,417,2024
특별광역시도,안개,4,1,1,1,1,2024
특별광역시도,눈,309,1,61,352,18,2024
특별광역시도,기타/불명,937,7,228,942,86,2024
시도,맑음,54701,578,14099,57118,5544,2024
시도,흐림,2066,49,610,2081,185,2024
시도,비,3977,50,1164,4155,375,2024
시도,안개,38,3,15,30,2,2024
시도,눈,391,1,64,436,38,2024
시도,기타/불명,464,8,117,423,77,2024
군도,맑음,6556,208,2521,5994,486,2024
군도,흐림,319,6,157,272,16,2024
군도,비,470,18,177,439,39,2024
군도,안개,17,0,9,9,0,2024
군도,눈,37,2,18,37,4,2024
군도,기타/불명,38,0,16,38,2,2024
고속국도,맑음,4631,154,1390,7618,757,2024
고속국도,흐림,167,15,55,280,24,2024
고속국도,비,415,15,204,668,64,2024
고속국도,안개,8,1,4,6,1,2024
고속국도,눈,65,2,28,103,16,2024
고속국도,기타/불명,25,0,4,39,3,2024
기타,맑음,8747,79,2089,8456,1015,2024
기타,흐림,345,7,87,340,46,2024
기타,비,489,9,123,488,40,2024
기타,안개,5,0,2,4,0,2024
기타,눈,67,2,10,67,14,2024
기타,기타/불명,532,2,115,579,70,2024
