도로종류,기상상태,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,맑음,19192,383,5501,21653,2123
일반국도,흐림,925,34,309,1035,93
일반국도,비,1583,39,526,1791,142
일반국도,안개,41,5,13,45,2
일반국도,눈,142,3,36,211,23
일반국도,기타/불명,202,3,49,224,29
지방도,맑음,10300,228,3425,10969,1106
지방도,흐림,505,18,166,501,54
지방도,비,803,17,270,860,97
지방도,안개,27,2,7,30,3
지방도,눈,90,1,23,144,20
지방도,기타/불명,159,5,51,137,20
특별광역시도,맑음,68673,456,16348,72264,6097
특별광역시도,흐림,2395,38,635,2448,204
특별광역시도,비,5477,55,1361,5754,459
특별광역시도,안개,12,1,3,15,1
특별광역시도,눈,251,1,49,310,23
특별광역시도,기타/불명,861,10,164,860,84
시도,맑음,55631,588,14581,58247,5407
시도,흐림,2148,59,606,2231,202
시도,비,4385,65,1223,4596,372
시도,안개,43,4,11,49,3
시도,눈,277,2,45,358,33
시도,기타/불명,412,7,107,394,48
군도,맑음,6451,211,2501,6007,477
군도,흐림,291,12,103,301,16
군도,비,469,17,157,454,42
군도,안개,17,2,11,8,0
군도,눈,47,0,13,69,4
군도,기타/불명,33,0,14,25,1
고속국도,맑음,4573,156,1578,7647,827
고속국도,흐림,141,17,65,187,8
고속국도,비,429,10,162,636,69
고속국도,안개,5,0,4,7,1
고속국도,눈,49,3,39,101,16
고속국도,기타/불명,23,0,12,40,1
기타,맑음,9511,77,2414,9175,979
기타,흐림,431,15,97,415,29
기타,비,631,4,169,622,56
기타,안개,9,0,5,5,0
기타,눈,57,1,15,111,3
기타,기타/불명,595,2,121,633,67
